Case5;Case6;Case7;Case8;Case9;Case10;Triples
1;1;1;1;1;1;burns caused liquids
1;1;1;1;1;1;idiot pulls motion
1;1;1;1;1;1;flooding caused cyclone
1;1;1;1;1;1;Fog caused delays
1;0;1;1;1;0;administration established centres
1;1;1;1;1;1;model developed event
1;1;1;1;1;1;process caused stricture
1;1;1;1;1;1;suffering caused crisis
1;1;1;1;1;1;infection caused fungus
1;1;1;1;1;1;Tonsillitis caused micro-organisms
1;1;1;1;1;1;Hiccups caused spasm
1;1;1;1;1;0;electricity produced biomass
1;1;1;1;1;1;Landslides caused deaths
1;1;1;1;1;1;humiliation comes people
1;0;1;1;1;1;exhibition sustained contacts
1;1;1;1;1;1;visit caused sensation
1;1;1;1;1;0;voltage instigates reaction
1;1;1;1;1;1;controversy arose assignment
1;1;1;1;1;1;dispute concerning interpretation
1;1;1;1;1;1;Dioxide released atmosphere
1;1;1;1;1;1;abuse resulted swelling
1;1;1;1;1;1;fire originated area
1;1;1;1;1;1;harm caused quake
1;1;1;1;1;1;fungi cause disease
1;1;1;1;1;1;clashes resulted deaths
1;1;1;1;1;1;clashes including deaths
1;1;1;1;1;1;evidence came study
1;0;1;0;1;0;log- jam pending cases
1;1;1;1;1;1;bloodshed caused growth
1;1;1;1;1;1;anxiety caused accident
1;1;1;1;1;0;company eluded obligations
1;1;1;1;1;1;energy going source
1;1;1;1;0;0;acne caused cosmetics
1;1;1;1;1;1;light radiating face
1;1;1;1;1;1;noise caused resistors
1;0;1;1;1;0;noise biasing resistors
1;1;1;1;1;1;damage caused reconstruction
1;1;1;1;1;1;dust produces irritation
1;1;1;1;1;1;crisis originated sector
1;1;1;1;1;1;hormone produced gland
1;1;1;1;1;1;weight caused collapse
1;1;1;1;1;1;explosion triggered blast
1;1;1;1;1;1;sadness leads fear
1;1;1;1;1;1;flu include chills
1;1;1;1;1;1;blaze triggered fault
1;1;1;1;1;1;debris caused fire
1;1;1;1;1;1;flu cause stress
1;1;1;1;1;1;flu increases stress
1;1;1;1;1;1;accident resulted death
1;1;1;1;1;1;technique consists laser
1;0;1;1;1;1;technique heating laser
1;1;1;1;1;1;report supplying motives
1;1;1;1;1;1;Acne caused oily skin
1;1;1;1;0;1;dirt cause acne
1;1;1;1;1;1;rainbows caused refraction
1;1;1;1;1;1;storm caused cancellation
1;1;1;1;1;1;harm caused flood
1;1;1;1;1;1;work explored themes
1;0;1;1;1;0;batteries provide power
1;1;1;1;1;1;proclamation declares flu
1;1;1;1;1;1;Rumors leaked public
1;1;1;1;1;1;complications resulted deaths
1;1;1;1;1;1;pilots flown trouble
1;1;1;1;1;1;steam produced combustion
1;1;1;1;1;1;Lesions affecting hemiparesis
1;1;1;1;1;1;Lesions sparing hemiparesis
1;1;1;1;1;1;Lesions caused hemiparesis
1;0;1;1;1;0;transformer driven shield
1;1;1;1;1;0;article explores impulsivity
1;0;1;1;0;1;projects landing markets
1;1;1;1;1;1;congestion caused delays
1;0;1;1;0;1;term derived metaphor
1;1;1;1;0;0;bastard face velocity
1;1;1;1;1;0;plasma generated discharge
1;1;1;1;1;1;dust collected caisson
1;0;1;1;1;0;cocaine constricted pressure
1;1;1;1;1;1;cocaine increased pressure
1;1;1;1;1;0;spike caused glitch
1;1;1;1;1;1;outbreak caused vaccine
1;1;1;1;1;1;ads inform dangers
1;1;1;1;1;1;impact caused slit
1;1;1;1;0;0;effort gone development
1;1;1;1;1;1;bomb killed bin
1;1;1;1;1;1;drop caused recession
1;1;1;1;1;1;pandemic caused virus
1;1;1;1;1;1;processes ) acids
1;1;1;1;1;1;term originates expression
1;0;1;1;1;0;gases emanated sources
1;1;1;1;1;1;Acne caused irritants
1;1;1;1;1;1;Sadness leads dissatisfaction
1;1;1;1;1;1;sounds made species
1;1;1;1;1;1;system generating power
1;1;1;1;1;1;excerpt revolved theme
1;1;1;1;1;1;crash caused meteor
1;1;1;1;1;1;day thrown chaos
1;1;1;1;1;1;Swine flu leading disease
1;1;1;1;1;1;Lasers using wavelengths
1;1;1;1;1;1;devastation caused flooding
1;1;1;1;1;1;ticks caused discomfort
1;1;1;1;1;1;letter contained dispute
1;1;1;1;1;1;raid resulted crisis
1;1;1;1;1;1;scheme establishing access
1;1;1;1;1;1;tension caused fighting
1;1;1;1;1;1;stress caused battles
1;1;1;1;1;1;devastation caused fire
1;1;1;1;1;1;storm generated cold front
1;1;1;1;1;1;guide outlines issues
1;0;1;1;0;0;Scientists given warning
1;1;1;1;1;1;destruction caused war
1;1;1;1;1;1;accident caused snarl
1;1;1;1;1;1;injury caused person
1;0;1;1;1;0;words flowed curate
1;1;1;1;1;0;Pressure walking friction
1;0;1;1;0;0;world created process
1;1;1;1;1;1;floods caused rains
1;1;1;1;1;1;beam generated emission
1;1;1;1;1;1;devastation caused waste
1;1;1;1;1;1;devastation includes waste
1;1;1;1;1;1;Information gained test
1;1;1;1;1;0;producer required machinery
1;1;1;1;1;1;damage caused industry
1;1;1;1;1;1;phrase originates argument
1;1;1;1;1;1;disorders caused drinking
1;1;1;1;0;1;conference started debate
1;1;1;1;1;1;rain come downtown
1;1;1;1;1;1;statement revealed departure
1;1;1;1;1;1;hall fell disuse
1;1;1;1;1;1;devastation caused tsunami
1;1;1;1;1;1;power supply derived power-pack
1;1;1;1;1;1;coalition established activities
1;1;1;1;1;1;crisis caused blockade
1;1;1;1;1;1;blast caused mishandling
1;1;1;1;1;1;shortages mounting riots
1;1;1;1;1;1;ion derived acid
1;1;1;1;1;1;noise triggered quake
1;1;1;1;1;1;Products fallen disuse
1;0;1;1;1;1;lectures summarised thoughts
1;1;1;1;1;1;generator creates principle
1;1;1;1;1;1;generator using principle
1;1;1;1;1;1;delays caused governments
1;1;1;1;1;1;illness caused bacteria
1;1;1;1;1;1;article narrates experiences
1;1;1;1;1;1;system composed glands
1;1;1;1;1;1;tsunami resulted displacement
1;0;1;1;1;0;shot caused wound
1;1;1;1;1;1;company landed trouble
1;1;1;1;1;1;Acne caused hormonal imbalance
1;1;1;1;1;1;discussion made concept
1;0;1;1;0;1;teaching experience involves anecdotes
1;0;1;1;1;1;teaching experience telling anecdotes
1;1;1;1;1;1;disorders caused mutation
1;1;1;1;1;1;Power generated reaction
1;1;1;1;1;1;storm generated upwelling
1;1;1;1;1;1;article pointed problems
1;1;1;1;0;0;title derived quip
1;1;1;1;1;1;disaster caused hurricane
1;1;1;1;1;1;bomb dropped region
1;1;1;1;1;1;methods described publication
1;1;1;1;1;1;energy caused posters
1;1;1;1;1;1;efforts invested objective
1;1;1;1;1;1;explosion caused crater
1;1;1;1;1;1;damage caused aircraft
1;0;1;1;1;1;sound came structure
1;0;1;1;1;1;accident cause power outage
1;1;1;1;1;1;crisis spreading economy
1;1;1;1;1;1;damage caused virus
1;1;1;1;1;1;criticism commented weaknesses
1;0;1;0;1;0;life related movie
1;1;1;1;1;1;cow touched nuzzle
1;0;1;1;1;0;tools sped process
1;1;1;1;1;1;damage caused earthquakes
1;1;1;1;1;1;abscess caused infection
1;0;1;1;1;0;act promotes limitation
1;0;1;1;1;1;basin sunk depression
1;1;1;1;1;1;electrical short caused fire
1;1;1;1;1;1;events caused dissolution
1;1;1;1;1;1;contamination caused residues
1;1;1;1;1;1;Asthma causes narrowing
1;1;1;1;1;1;Asthma swelling narrowing
1;1;1;1;1;1;request arrived firm
1;0;1;1;1;0;air pressed lungs
1;1;1;1;1;1;incident caused entry
1;0;1;1;0;0;name originated times
1;1;1;1;1;1;imbalance caused torque
1;1;1;1;1;1;fear triggered death
1;1;1;1;1;1;singer demonstrates song
1;1;1;1;1;0;design evolved work
1;1;1;1;1;1;devastation caused earthquake
1;1;1;1;1;1;rash caused fungal imbalance
1;1;1;1;1;1;boys dragged fighting
1;1;1;1;1;1;show offers discussion
1;1;1;1;1;1;Tsunamis caused displacement
1;1;1;1;1;1;irritants cause coughing
1;1;1;1;1;1;speech known problems
1;1;1;1;1;1;decline caused collapse
1;1;1;1;1;1;resource documenting results
1;0;1;0;0;1;system contains antennas
1;1;1;1;1;1;announcement caused stir
1;1;1;1;1;0;guard scowling look
1;1;1;1;1;1;deformation caused filling
1;1;1;1;1;1;breakdown caused war
1;1;1;1;1;1;remark came person
1;1;1;1;1;1;ulcers caused infectious agent
1;1;1;1;1;1;inconvenience caused fence
1;0;1;0;0;0;sweetcorn produced cobs
1;1;1;1;1;1;clot caused seizure
1;1;1;1;0;1;population fell peak
1;1;1;1;1;1;data derived study
1;1;1;1;1;1;struggle caused disturbance
1;1;1;1;1;1;trio lit blaze
1;1;1;1;1;1;incidents resulted injuries
1;1;1;1;1;1;wind caused fire
1;1;1;1;1;1;wind catch fire
1;1;1;1;1;1;complication arose irradiation
1;1;1;1;0;0;word derived term
1;1;1;1;1;1;bombing resulted deaths
1;1;1;1;1;1;error caused tags
1;1;1;1;1;1;winds caused moisture
1;1;1;1;1;1;drag caused atmosphere
1;1;1;1;1;1;flooding caused clogging
1;1;1;1;1;1;compilation governed considerations
1;1;1;1;1;1;incidents resulted poisonings
1;0;1;0;1;0;money handed custody
1;1;1;1;1;0;issues addressed myth
1;1;1;1;1;1;sadness leads murder
1;1;1;1;1;1;light emanated table-lamp
1;0;1;1;0;0;remnants left storm
0;1;0;0;0;0;audits were waste
0;1;0;0;0;0;influenza is virus
0;1;0;0;0;0;song composed musician
0;1;0;0;0;0;effect is way
0;1;0;0;0;0;viruses have infections
0;1;0;0;0;0;blisters are herpes simplex virus
0;1;0;0;0;0;Roundworms are parasite
0;1;0;0;0;0;subject is implication
0;1;1;1;0;1;treaty establishes rule
0;1;1;1;0;0;News programs commented violence
0;1;0;0;0;0;vibrations had movement
0;1;0;0;0;0;committee is organisation
0;1;0;1;0;1;family supporting features
0;1;1;1;0;0;method clearing combination
0;1;0;0;0;0;method is combination
0;1;0;0;0;0;comments are readers
0;1;1;1;0;1;comments provided readers
0;1;0;0;0;0;regulations have force
0;1;0;1;0;0;father killed bar
0;1;0;0;0;0;student spent application
0;1;0;0;0;0;fatigue is pain
0;1;0;0;0;0;films have mental illness
0;1;0;0;0;0;defendant released custody
0;1;0;0;0;0;plant are vehicles
0;1;0;1;0;0;plant used vehicles
0;1;0;0;0;0;man was car
0;1;0;0;0;0;diseases are gene mutations
0;1;0;0;0;0;air was smell
0;1;0;0;0;0;receiver was tone
0;1;1;1;0;0;squad armed militants
0;1;1;1;0;1;organizations manage resources
0;1;0;0;0;0;attractions are billboards
0;1;1;1;0;0;texts relate anecdotes
0;1;0;0;0;0;implications were publication
0;1;0;0;0;0;document is drugs
0;1;0;0;0;0;model is example
0;1;1;1;0;1;Analysts assess frequency
0;1;1;1;0;0;Analysts using frequency
0;1;1;1;0;1;posts offending writer
0;1;1;1;0;1;person created content
0;1;1;1;0;0;roundtables organised keywords
0;1;0;0;0;0;theory has science fiction
0;1;0;0;0;0;theory been science fiction
0;1;0;0;0;0;song been contest
0;1;0;1;0;0;song entered contest
0;1;1;1;1;0;sound made viper
0;1;0;0;0;0;money was jar
0;1;0;0;0;0;crash was attack
0;1;1;1;1;0;work started end
0;1;0;0;0;0;Conditions have report
0;1;0;0;0;0;Conditions been report
0;1;1;1;1;1;investigations provided evidence
0;1;1;1;0;1;technique used combination
0;1;0;0;0;0;conflict has wastewater
0;1;0;0;0;0;conflict been wastewater
0;1;0;0;0;0;downturn has people
0;1;0;0;0;0;citizen has battles
0;1;0;1;0;0;citizen landed battles
0;1;0;0;0;0;topics were song
0;1;1;1;0;1;story alleging existence
0;1;0;0;0;0;brain was jar
0;1;1;1;0;1;hair loss caused stress
0;1;0;0;0;0;activation was source
0;1;0;0;0;0;labor had building
0;1;1;0;0;1;labor put building
0;1;0;0;0;0;colors are dispersion
0;1;1;1;1;1;discussion focusing violence
0;1;0;0;0;0;articles were promotion
0;1;0;0;0;0;liberties have laws
0;1;0;0;0;0;liberties been laws
0;1;1;1;0;1;liberties set laws
0;1;0;0;0;0;coffin is funeral
0;1;0;0;0;0;toy was trash
0;1;0;0;0;0;transport is mechanism
0;1;0;0;0;0;question was announcement
0;1;0;0;0;0;pain has strains
0;1;0;0;0;0;pain been strains
0;1;0;0;0;0;storm is town
0;1;0;0;0;0;Neuralgia is headache
0;1;0;0;0;0;Bibliometrics is research evaluation
0;1;0;0;0;0;Air is mouthpiece
0;1;0;0;0;0;crisis was boss
0;1;0;0;0;0;misinterpretation has word
0;1;0;0;0;0;misinterpretation been word
0;1;0;0;0;0;team has team
0;1;0;0;0;0;book has writer
0;1;0;0;0;0;fear were stab
0;1;0;0;0;0;reforms had changes
0;1;0;0;0;0;reforms do changes
0;1;0;0;0;0;brotherhood forgotten kings
0;1;0;0;0;0;offers been catalog
0;1;1;1;0;0;offers placed catalog
0;1;0;0;0;0;hyperlink was field
0;1;1;1;1;1;aid flowing areas
0;1;0;0;0;0;nuclear energy is pollution
0;1;0;0;0;0;anger was abuse
0;1;0;0;0;0;Tides are gravitational pull
0;1;0;0;0;0;Changes have sub-committee
0;1;0;0;0;0;Changes been sub-committee
0;1;1;1;0;1;Changes discussed sub-committee
0;1;0;0;0;0;Animations are version
0;1;1;1;1;0;dust set alarm
0;1;0;0;0;0;types been sections
0;1;0;0;0;0;Stroke is death
0;1;0;0;0;0;pain was torment
0;1;0;0;0;0;community was positions
0;1;1;1;1;1;signal departs sine
0;1;0;0;0;0;artist was can
0;1;0;0;0;0;areas have composition
0;1;0;0;0;0;areas do composition
0;1;0;0;0;0;investigation had allegations
0;1;0;0;0;0;investigation do allegations
0;1;0;0;0;0;Noise regulations have force
0;1;1;1;0;1;oil polluting runoff
0;1;0;1;0;0;oil comes runoff
0;1;0;0;0;0;Cancer is illness
0;1;1;1;0;0;company established fireman
0;1;1;0;0;0;skills developed surgery
0;1;1;1;0;0;page used terms
0;1;1;1;0;0;list prepared records
0;1;1;1;0;1;girl journeyed danger
0;1;0;0;0;0;pollution was shipwreck
0;1;1;1;1;1;pollution caused shipwreck
0;1;1;1;0;1;regulation governing access
0;1;0;0;0;0;prostate is glands
0;1;0;0;0;0;topics were categories
0;1;1;1;1;1;topics placed categories
0;1;1;1;0;0;display showing status
0;1;1;1;0;1;chapter relates attempts
0;1;1;1;0;1;shops produced clocks
0;1;0;0;0;0;growth was area
0;1;1;1;1;1;agreements resulted diversion
0;1;1;1;0;0;atmospheric chemistry include acid rain
0;1;0;0;0;0;studies are inquiry
0;1;0;0;0;0;money was chest
0;1;0;0;0;0;Recessions are excess demand
0;1;0;0;0;0;recession has collapse
0;1;0;0;0;0;recession been collapse
0;1;1;1;0;0;researcher approached categories
0;1;1;1;1;1;researcher predetermined categories
0;1;0;0;0;0;problems have policy
0;1;0;0;0;0;bacteria is pneumonia
0;1;0;0;0;0;plague biting insects
0;1;0;0;0;0;bleeding was injury
0;1;1;1;0;1;caterpillars caused disease
0;1;0;0;0;0;proposals were speech
0;1;1;1;0;0;binder goes trials
0;1;0;0;0;0;activities is development
0;1;0;1;0;1;server identifies identifier
0;1;0;1;0;0;server using identifier
0;1;0;0;0;0;profiles are teachers
0;1;1;1;0;1;profiles used teachers
0;1;0;0;0;0;corruption was utilities
0;1;1;1;0;1;Twisters fill creations
0;1;0;0;0;0;paper is thesis
0;1;1;1;0;1;paper constructed thesis
0;1;0;0;0;0;chapter is impact
0;1;0;0;0;0;damage was collision
0;1;1;1;0;0;statutes declare policy
0;1;0;0;0;0;clauses were framers
0;1;1;1;0;0;clauses invented framers
0;1;1;1;0;0;project regulate standard
0;1;0;0;0;0;body was drum
0;1;0;1;0;1;body found drum
0;1;0;0;0;0;mechanism is magnet
0;1;1;1;0;0;mechanism seated magnet
0;1;1;1;1;1;riots triggered verdict
0;1;0;0;0;0;results have films
0;1;0;0;0;0;results been films
0;1;1;1;0;0;results documented films
0;1;0;0;0;0;neologisms have literature
0;1;0;0;0;0;program was author
0;1;1;1;0;1;program developed author
0;1;0;0;0;0;problems were study
0;1;1;1;1;1;discussion presented appendix
0;1;0;0;0;0;amount was cylinder
0;1;1;1;0;1;amount placed cylinder
0;1;0;1;0;0;people pushed hunger
0;1;0;0;0;0;tail is solar wind
0;1;0;1;0;1;tail caused solar wind
0;1;0;0;0;0;Infectious diseases are parasites
0;1;1;1;0;0;journalists become discussion
0;1;1;1;1;1;definition made standards
0;1;1;1;0;0;definition existing standards
0;1;0;0;0;0;crisis has cost
0;1;0;0;0;0;crisis been cost
0;1;0;0;0;0;injuries are fireworks
0;1;0;0;0;0;relationship is chaos
0;1;0;0;0;0;illness was chickenpox
0;1;1;1;0;1;illness triggered chickenpox
0;1;1;1;1;1;think tank considering issues
0;1;0;0;0;0;Considerations have cases
0;1;0;0;0;0;Considerations been cases
0;1;0;1;0;1;scientists compiled map
0;1;0;0;0;0;disguise was bin
0;1;0;0;0;0;organisms are areas
0;1;0;0;0;0;dollars been economy
0;1;1;1;0;0;dollars put economy
0;1;0;0;0;0;controversy has intelligence
0;1;1;1;0;1;controversy centered intelligence
0;1;0;0;0;0;dizziness were injury
0;1;1;1;0;1;members drafted ordinance
0;1;0;0;0;0;Fainting is unconsciousness
0;1;0;0;0;0;way has debate
0;1;0;0;0;0;way been debate
0;1;1;1;0;0;Methadone gives buzz
0;1;0;0;0;0;laboratory is organisation
0;1;0;0;0;0;request has moderator
0;1;0;0;0;0;request been moderator
0;1;0;0;0;0;process had stricture
0;1;0;0;0;0;Dehydration is death
0;1;0;0;0;0;Tonsillitis is micro-organisms
0;1;0;0;0;0;Hiccups are spasm
0;1;0;0;0;0;committee is people
0;1;1;1;1;1;publication analyzes developments
0;1;1;1;1;1;publication interprets developments
0;1;0;1;0;0;sessions selected abstracts
0;1;0;0;0;0;reproductive toxicity was nitrite
0;1;1;1;0;1;reproductive toxicity caused nitrite
0;1;0;0;0;0;Dioxide has atmosphere
0;1;1;1;0;1;comment made developer
0;1;0;0;0;0;Diabetes is disorders
0;1;1;1;0;1;talk tackles challenges
0;1;0;0;0;0;bloodshed was growth
0;1;1;1;0;1;water evaporated evaporators
0;1;0;0;0;0;company has obligations
0;1;0;0;0;0;energy is source
0;1;1;1;0;1;publications commenting similarities
0;1;0;1;0;0;books dealing identification
0;1;0;0;0;0;crimes are show
0;1;1;1;1;0;crimes investigated show
0;1;1;1;1;1;cook stirs coals
0;1;0;0;0;0;light was face
0;1;0;0;0;0;document is interrogation
0;1;0;0;0;0;noise was resistors
0;1;0;0;0;0;light was turrets
0;1;1;1;0;0;script defined index
0;1;1;1;0;0;radio informed development
0;1;0;0;0;0;hormone is gland
0;1;1;1;0;0;researcher started programme
0;1;0;0;0;0;statement was topics
0;1;0;0;0;0;committee has recommendations
0;1;1;1;0;1;committee made recommendations
0;1;1;1;0;1;monsoons caused change
0;1;0;0;0;1;rules regulate behavior
0;1;0;0;0;0;explosion was blast
0;1;0;0;0;0;damage has hallucinogens
0;1;0;0;0;0;damage been hallucinogens
0;1;1;1;0;1;damage caused hallucinogens
0;1;1;1;0;1;company entered research
0;1;1;0;0;1;page carries conventions
0;1;0;0;0;0;blaze was fault
0;1;0;0;0;0;merger is opposition
0;1;1;1;0;1;merger running opposition
0;1;0;0;0;0;details were interview
0;1;1;1;1;0;details revealed interview
0;1;0;0;0;0;tree was woods
0;1;1;1;0;1;tree growing woods
0;1;1;1;0;1;report assesses degree
0;1;0;0;0;0;Acne is oily skin
0;1;1;1;1;0;meeting decided vote
0;1;0;0;0;0;sheets are aspects
0;1;1;1;1;1;sheets concerned aspects
0;1;1;1;1;1;rules establish criteria
0;1;0;0;0;0;rainbows are refraction
0;1;1;1;1;1;chart produced study
0;1;0;0;0;0;work has themes
0;1;0;0;0;0;Rumors have public
0;1;0;0;0;0;Rumors been public
0;1;0;0;0;0;pilots have trouble
0;1;0;0;0;0;timers were event
0;1;0;1;0;0;timers started event
0;1;1;1;1;1;declaration tackle climate change
0;1;1;1;0;1;fluid spread body
0;1;0;0;0;0;projects are markets
0;1;1;1;0;0;bastard peels velocity
0;1;0;0;0;0;plasma was discharge
0;1;1;1;0;1;methods preceding paper
0;1;0;0;0;0;jump was deterioration
0;1;0;0;0;0;areas have spaces
0;1;0;0;0;0;areas been spaces
0;1;1;1;0;1;Stimulation produced latency
0;1;0;0;0;0;outbreak was vaccine
0;1;1;1;0;1;tests using substance
0;1;1;1;1;1;report fulfills requirements
0;1;0;0;0;0;effort has development
0;1;1;1;1;1;series examined crimes
0;1;0;0;0;0;officers have leave
0;1;0;0;0;0;officers been leave
0;1;0;0;0;0;officers placed leave
0;1;0;0;0;0;bomb was bin
0;1;0;0;0;0;head was jar
0;1;0;0;0;0;drop was recession
0;1;0;0;0;0;pandemic was virus
0;1;1;1;0;1;forces defeated troops
0;1;1;1;0;1;existence revealed speech
0;1;0;0;0;0;Acne is irritants
0;1;0;0;0;0;verbalizations were questions
0;1;1;1;0;1;verbalizations focused questions
0;1;0;0;0;0;talks have overtime
0;1;0;0;0;0;talks been overtime
0;1;1;1;0;0;talks moving overtime
0;1;0;0;0;0;certificate was product
0;1;1;1;0;0;certificate awarded product
0;1;0;0;0;0;system was power
0;1;0;0;0;0;papillomavirus is warts
0;1;0;0;0;0;crash has meteor
0;1;0;0;0;0;crash been meteor
0;1;0;0;0;0;day is chaos
0;1;1;1;0;0;researchers produced report
0;1;0;0;0;0;patient has coma
0;1;0;0;0;0;patient been coma
0;1;0;1;0;1;patient placed coma
0;1;1;1;0;1;patient induced coma
0;1;0;0;0;0;Swine flu is disease
0;1;1;1;1;1;speech caused combustion
0;1;1;1;1;1;documents discussed meeting
0;1;0;0;0;0;book has debate
0;1;0;0;0;0;book been debate
0;1;1;1;0;1;paragraphs introduce ideas
0;1;1;1;0;0;photograph forgotten memory
0;1;1;1;0;1;projects investigating aspects
